Quad_Cat,Mean,SD,Variance,Minimum,Maximum,Number of Peaks,Number of Valleys,Ratio
1,3.560146243,0.139966108,0.019590511,3.317402789,3.982483904,1.93E-05,1.93E-05,5.30E-11
0,5.567496013,0.659287207,0.434659622,4.043869449,7.146960287,3.63E-05,3.63E-05,1.88E-10
0,4.072887837,0.530539192,0.281471834,2.393336905,4.711197092,4.11E-05,4.11E-05,2.82E-10
3,5.407625223,0.891520642,0.794809054,3.213555823,7.700064494,4.15E-05,4.15E-05,1.91E-10
1,3.232516924,0.159728335,0.025513141,2.973925921,3.608285413,3.03E-05,3.03E-05,8.35E-11
2,3.751488823,0.202707736,0.041090426,3.425198682,4.308028655,3.18E-05,3.18E-05,9.21E-11
2,4.980060179,0.517574532,0.267883396,3.320883076,6.261925553,2.91E-05,2.91E-05,8.47E-11
2,4.01725371,0.333621493,0.111303301,3.305709828,4.656700479,5.68E-05,6.12E-05,2.48E-10
0,4.736634643,1.16325397,1.353159799,1.859818992,6.673863391,4.69E-05,4.36E-05,1.57E-10
1,3.079465482,0.112009026,0.012546022,2.905534775,3.288227828,6.34E-06,9.52E-06,2.01E-11
3,4.28802354,1.029059277,1.058962995,2.955364171,6.500643517,3.40E-05,4.07E-05,2.31E-10
3,4.198029792,0.470800208,0.221652836,3.13648455,5.366421539,2.85E-05,2.85E-05,2.03E-10
1,9.118960539,0.733035405,0.537340905,8.370944838,12.01120764,2.20E-05,1.93E-05,6.05E-11
0,7.602410703,0.931679851,0.868027345,6.552884505,10.61675776,3.11E-05,3.11E-05,1.61E-10
0,8.898573821,0.802814534,0.644511176,8.062103703,11.73710523,2.74E-05,3.43E-05,1.88E-10
3,12.67025859,1.048078758,1.098469083,8.88633577,14.64693224,4.61E-05,4.61E-05,2.12E-10
1,9.473160296,2.529200814,6.396856759,6.842081451,14.99455639,3.31E-05,3.31E-05,9.11E-11
2,10.08543413,0.854045329,0.729393424,8.4815053,13.19726918,3.47E-05,3.47E-05,1.00E-10
2,9.307058101,0.2643272,0.069868869,8.879638518,10.40409969,3.20E-05,3.49E-05,9.31E-11
2,10.29186434,0.403977203,0.163197581,9.564769993,11.08566467,4.81E-05,4.81E-05,2.10E-10
0,10.50323204,1.112679713,1.238056145,8.760074798,13.22987743,5.70E-05,5.70E-05,1.91E-10
1,9.480927407,0.719741861,0.518028347,8.743960201,12.81692042,1.59E-05,1.27E-05,5.03E-11
3,10.21584587,1.955147821,3.822603001,7.654496571,13.47828493,4.07E-05,4.75E-05,2.77E-10
3,9.115193009,0.799964801,0.639943683,8.370212597,11.25931856,2.85E-05,3.56E-05,2.03E-10
1,2.400253074,0.047688168,0.002274161,2.29196034,2.509719139,3.30E-05,3.58E-05,9.08E-11
0,5.20994675,0.35893247,0.128832518,4.350224414,5.976737559,5.70E-05,5.70E-05,2.96E-10
0,6.820880318,0.779170805,0.607107143,5.302214779,8.734989899,5.48E-05,5.48E-05,3.75E-10
3,2.4079233,0.290573821,0.084433145,2.081209196,2.948495997,3.69E-05,3.69E-05,1.70E-10
1,2.18389666,0.189965262,0.036086801,1.8725291,2.627039818,3.31E-05,3.31E-05,9.11E-11
2,2.355090466,0.047768389,0.002281819,2.270043404,2.455114553,2.89E-05,2.89E-05,8.37E-11
2,3.318722894,0.168687805,0.028455576,3.090881636,3.955587873,3.78E-05,3.78E-05,1.10E-10
2,2.726846389,0.127072276,0.016147363,2.525856468,3.096130654,2.62E-05,2.62E-05,1.15E-10
0,7.548751533,1.330617563,1.770543099,4.280052258,10.88421537,6.37E-05,6.70E-05,2.14E-10
1,1.88538928,0.014862743,0.000220901,1.861178696,1.929837797,2.85E-05,3.17E-05,9.06E-11
3,2.285731323,0.106398976,0.011320742,2.153538531,2.51295108,4.07E-05,4.07E-05,2.77E-10
3,2.142145901,0.027386012,0.000749994,2.081282416,2.198465628,2.85E-05,2.85E-05,2.03E-10
1,7.769102712,0.360799376,0.130176189,6.976835063,8.783985232,3.03E-05,3.03E-05,8.32E-11
0,6.178072304,0.125464518,0.015741345,5.97805542,6.380413765,5.18E-06,5.18E-06,2.69E-11
0,6.596207527,0.325483686,0.10593963,6.219347528,7.42329411,1.37E-05,6.85E-06,9.39E-11
3,10.08158571,1.128061344,1.272522396,6.310845744,12.14278252,3.69E-05,3.69E-05,1.70E-10
1,6.837263047,0.196019929,0.038423812,6.516076586,7.235249936,1.10E-05,1.10E-05,3.04E-11
2,7.667667305,0.14707053,0.021629741,7.436265874,8.039645494,2.32E-05,2.32E-05,6.70E-11
2,8.740084992,0.616866473,0.380524246,7.880493067,10.9376391,4.07E-05,3.78E-05,1.19E-10
2,7.874267949,0.530419064,0.281344383,7.239407027,9.546814847,3.93E-05,3.50E-05,1.72E-10
0,8.096884518,1.11995676,1.254303145,6.668558144,10.68793819,3.35E-05,3.35E-05,1.12E-10
1,6.554662631,0.292920666,0.085802517,6.192187272,7.425374255,6.34E-06,3.17E-06,2.01E-11
3,8.458958027,0.539305693,0.29085063,7.347957402,9.562047314,3.40E-05,4.07E-05,2.31E-10
3,6.321233281,0.327262284,0.107100603,5.938823718,7.14241871,2.13E-05,2.13E-05,1.52E-10
1,6.89773134,0.652281893,0.425471668,6.050964139,8.315205597,2.75E-06,2.75E-06,7.57E-12
0,8.030846587,0.601137885,0.361366757,7.084552984,9.634377285,2.07E-05,2.07E-05,1.07E-10
0,7.740370543,0.251584168,0.063294594,7.265675754,8.204040983,2.06E-05,2.06E-05,1.41E-10
3,7.337357583,0.804224372,0.64677684,6.260671749,9.087810986,3.69E-05,3.69E-05,1.70E-10
1,6.336071576,0.648648201,0.420744488,5.531713879,7.759171277,8.27E-06,8.27E-06,2.28E-11
2,6.945498813,1.477989823,2.184453916,5.586597164,10.42301757,3.76E-05,3.76E-05,1.09E-10
2,6.74019407,0.597937905,0.357529738,5.969472144,8.464736181,1.45E-05,1.75E-05,4.23E-11
2,7.290371073,0.75069782,0.563547218,6.39351067,9.613882781,1.31E-05,1.31E-05,5.73E-11
0,8.605299251,0.702628059,0.493686189,7.503763636,10.59764701,2.35E-05,2.35E-05,7.87E-11
1,8.200142134,0.935040813,0.874301322,7.025535604,11.33490112,2.54E-05,2.54E-05,8.05E-11
3,6.959217353,0.134583486,0.018112715,6.739013321,7.272172359,2.04E-05,2.72E-05,1.38E-10
3,7.921208623,0.351940011,0.123861771,7.44596294,8.901456587,6.40E-05,5.69E-05,4.56E-10
1,18.86851986,0.72134589,0.520339893,17.94614529,21.09636567,3.30E-05,3.03E-05,9.08E-11
0,22.95072685,1.217748584,1.482911614,21.47011258,25.7642176,3.63E-05,3.63E-05,1.88E-10
0,21.96973134,0.96804342,0.937108062,20.7667131,25.31235246,3.43E-05,3.43E-05,2.35E-10
3,27.52765813,1.568978693,2.461694139,25.54833136,32.22680522,7.37E-05,6.91E-05,3.40E-10
1,18.27244152,0.725925548,0.526967902,17.35929928,20.0144298,1.38E-05,1.38E-05,3.80E-11
2,19.46026604,0.661722596,0.437876794,18.53777058,21.97284012,2.32E-05,2.32E-05,6.70E-11
2,20.68155732,0.990110777,0.98031935,19.42544456,24.65577543,2.33E-05,2.33E-05,6.77E-11
2,20.60678879,0.687460956,0.472602566,19.72583284,22.47247877,2.62E-05,2.18E-05,1.15E-10
0,24.78400811,0.984011391,0.968278417,23.37270917,27.36848631,6.03E-05,5.70E-05,2.02E-10
1,17.59517464,0.4580042,0.209767847,16.99498966,18.68455801,2.85E-05,2.85E-05,9.06E-11
3,27.90946281,1.017606151,1.035522278,26.39494424,30.39878112,8.15E-05,7.47E-05,5.53E-10
3,25.80883604,1.049615467,1.101692629,24.5063068,29.43246956,4.98E-05,4.98E-05,3.54E-10
1,8.988783086,0.818031402,0.669175374,8.079311134,11.89638039,2.20E-05,2.20E-05,6.05E-11
0,7.807711892,1.05005351,1.102612373,6.694656318,10.74156067,2.07E-05,1.56E-05,1.07E-10
0,7.577881065,0.786389999,0.618409231,6.764617331,9.968461885,1.37E-05,1.37E-05,9.39E-11
3,10.6517126,0.644118709,0.414888911,9.387875829,12.99632434,5.53E-05,5.53E-05,2.55E-10
1,9.715196099,1.214627405,1.475319733,8.518105534,14.18919092,1.93E-05,2.20E-05,5.32E-11
2,6.503600787,0.635299811,0.40360585,5.881868538,9.220855983,5.79E-06,2.89E-06,1.67E-11
2,6.73953765,0.782210692,0.611853566,5.92446378,9.682769532,8.73E-06,5.82E-06,2.54E-11
2,6.768558294,0.413179049,0.170716927,6.288421181,8.086682665,1.31E-05,8.74E-06,5.73E-11
0,7.875355077,0.588079331,0.345837299,7.248012042,9.757935825,4.02E-05,3.69E-05,1.35E-10
1,9.672183147,0.810080792,0.65623089,8.462489583,11.55717642,3.81E-05,3.81E-05,1.21E-10
3,11.03101892,1.066007761,1.136372546,9.476651371,14.0633488,5.43E-05,5.43E-05,3.69E-10
3,8.384868817,0.764099431,0.583847941,7.428583641,10.6986291,4.98E-05,4.98E-05,3.54E-10
1,14.13693974,0.412567167,0.170211667,13.39068369,15.39191749,4.40E-05,4.40E-05,1.21E-10
0,14.64587899,0.462090895,0.213527995,13.92975045,15.89063378,3.63E-05,3.63E-05,1.88E-10
0,15.21431334,0.249327683,0.062164294,14.69279159,15.71333342,6.17E-05,5.48E-05,4.22E-10
3,15.86632124,1.515982492,2.298202916,12.62898596,17.4746571,6.45E-05,6.45E-05,2.97E-10
1,13.97597218,0.354104324,0.125389872,13.30069971,14.87832871,4.13E-05,4.13E-05,1.14E-10
2,11.1287454,0.387437632,0.150107919,10.2257979,11.99460651,3.47E-05,3.18E-05,1.00E-10
2,12.1990243,0.685832364,0.470366031,11.13744676,13.52871494,2.62E-05,2.62E-05,7.62E-11
2,13.40008981,0.667917584,0.446113898,12.23982951,14.92592602,2.18E-05,2.18E-05,9.54E-11
0,15.65049053,0.808451019,0.653593049,14.12364788,17.47705749,5.36E-05,5.36E-05,1.80E-10
1,13.03269265,0.244604947,0.05983158,12.50400562,13.71289306,3.81E-05,3.81E-05,1.21E-10
3,12.15596198,0.612812674,0.375539374,11.39187193,13.08625012,4.07E-05,4.75E-05,2.77E-10
3,12.33996718,0.249570786,0.062285577,11.98854208,13.08428003,4.98E-05,4.27E-05,3.54E-10
1,16.74669459,0.521971167,0.272453899,15.88883702,18.00548194,1.38E-05,1.38E-05,3.78E-11
0,17.55803136,0.87552828,0.766549769,16.58409659,20.68733396,2.07E-05,2.07E-05,1.07E-10
0,18.23677805,0.602483135,0.362985928,16.98140375,20.43443747,2.06E-05,1.37E-05,1.41E-10
3,28.52574416,1.319479485,1.74102611,24.99634663,30.69476619,5.99E-05,5.99E-05,2.76E-10
1,14.64602126,0.210621702,0.044361501,14.22367234,15.12357714,2.48E-05,2.48E-05,6.83E-11
2,22.66268271,1.552479115,2.410191404,20.92987673,28.41436614,2.89E-05,2.60E-05,8.37E-11
2,21.70452395,0.923395519,0.852659285,20.3273186,24.58436858,3.49E-05,3.20E-05,1.02E-10
2,19.6740378,0.307846392,0.094769401,19.12348001,20.63265533,1.31E-05,8.74E-06,5.73E-11
0,21.02000214,1.000704835,1.001410166,18.76013252,23.48081446,3.69E-05,3.69E-05,1.24E-10
1,15.43000116,0.358725235,0.128683794,14.94525225,16.35678841,2.85E-05,2.85E-05,9.06E-11
3,28.07404966,1.128630372,1.273806516,25.83293132,29.81650405,5.43E-05,4.75E-05,3.69E-10
3,27.38905967,1.269117981,1.610660449,25.93185701,31.89602335,4.98E-05,4.27E-05,3.54E-10
1,6.590896701,0.77270282,0.597069648,5.607995165,9.275288928,3.03E-05,3.30E-05,8.32E-11
0,5.800869459,0.14317679,0.020499593,5.585863719,6.15959894,5.18E-06,5.18E-06,2.69E-11
0,6.165967044,0.202524378,0.041016124,5.921002504,6.803616212,1.37E-05,1.37E-05,9.39E-11
3,7.566999037,0.376686881,0.141893006,6.884995405,8.317932924,4.15E-05,4.15E-05,1.91E-10
1,6.163308386,1.11232055,1.237257006,4.880850589,11.34589481,1.38E-05,1.38E-05,3.80E-11
2,6.323627363,0.419573524,0.176041942,5.87607824,7.80034766,2.03E-05,2.03E-05,5.86E-11
2,5.721734458,0.329246724,0.108403405,5.243470751,6.425494253,2.91E-06,2.91E-06,8.47E-12
2,5.503517062,0.149203908,0.022261806,5.283538353,5.818597581,8.74E-06,8.74E-06,3.82E-11
0,8.356918524,1.01042674,1.020962198,7.018891784,11.47256379,5.03E-05,5.03E-05,1.69E-10
1,6.925018286,0.54673874,0.29892325,6.268975671,8.858054849,3.17E-05,2.85E-05,1.01E-10
3,9.197698504,1.068515852,1.141726125,7.450130617,10.9134837,2.72E-05,2.72E-05,1.84E-10
3,5.816940295,0.129790844,0.016845663,5.624600628,6.08161578,1.42E-05,1.42E-05,1.01E-10
1,3.298878578,0.044685163,0.001996764,3.243944525,3.446786337,3.58E-05,3.58E-05,9.84E-11
0,4.711453807,0.244528741,0.059794305,4.372631114,5.287105455,1.04E-05,1.04E-05,5.37E-11
0,4.757325643,0.148416602,0.022027488,4.516710654,5.0241116,2.74E-05,2.06E-05,1.88E-10
3,5.438730629,0.363754715,0.132317492,4.387445501,6.474871636,5.07E-05,4.61E-05,2.34E-10
1,3.427003286,0.055313121,0.003059541,3.345361462,3.607920072,1.93E-05,1.65E-05,5.32E-11
2,4.382786821,0.110919403,0.012303114,4.177061279,4.65680108,3.47E-05,3.47E-05,1.00E-10
2,4.203599387,0.143006264,0.020450792,3.980680681,4.50430391,2.33E-05,2.33E-05,6.77E-11
2,4.085750102,0.077428914,0.005995237,3.962458723,4.320052464,2.18E-05,2.18E-05,9.54E-11
0,5.290107541,0.429668932,0.184615391,4.658332309,6.176735287,4.02E-05,4.02E-05,1.35E-10
1,3.568319568,0.059502499,0.003540547,3.484892053,3.718783571,9.52E-06,6.34E-06,3.02E-11
3,4.948746841,0.667094929,0.445015645,3.886973275,6.322905922,3.40E-05,3.40E-05,2.31E-10
3,4.079209257,0.146416129,0.021437683,3.939542011,4.476603416,2.85E-05,2.13E-05,2.03E-10
1,11.00954788,0.599359863,0.359232245,10.2985906,12.84943717,5.78E-05,5.78E-05,1.59E-10
0,9.346906424,0.438567126,0.192341124,8.788750556,10.53191402,4.15E-05,4.15E-05,2.15E-10
0,10.95663303,0.692098979,0.479000997,10.11932536,12.74645728,4.11E-05,3.43E-05,2.82E-10
3,10.27769185,0.42711278,0.182425327,9.037696545,11.13044562,6.45E-05,6.45E-05,2.97E-10
1,11.85847292,0.9104489,0.8289172,10.65682252,13.96884832,3.86E-05,3.86E-05,1.06E-10
2,8.249375194,0.320494316,0.102716607,7.827051872,9.368329957,4.05E-05,4.05E-05,1.17E-10
2,8.220348611,0.759616341,0.577016985,7.342552228,10.63958695,4.07E-05,3.78E-05,1.19E-10
2,8.422416878,0.428206528,0.18336083,7.798906753,9.649628363,4.37E-05,4.37E-05,1.91E-10
0,11.07118005,0.600085297,0.360102364,9.711281534,12.71608222,7.04E-05,7.04E-05,2.36E-10
1,11.27740797,0.615779224,0.379184053,10.45740674,12.78668288,5.08E-05,5.08E-05,1.61E-10
3,9.581952601,0.593010951,0.351661988,8.912850263,11.54361845,6.11E-05,5.43E-05,4.15E-10
3,9.227029706,0.531998023,0.283021897,8.301279629,10.71689974,4.98E-05,4.27E-05,3.54E-10
1,8.363044061,0.25415769,0.064596131,8.084771107,9.748073541,2.75E-05,2.75E-05,7.57E-11
0,12.35112276,0.793334478,0.629379595,11.45693499,15.09647864,3.11E-05,3.11E-05,1.61E-10
0,13.40078121,1.377256823,1.896836358,12.16033806,17.89500575,4.80E-05,4.11E-05,3.29E-10
3,13.30841314,1.078161407,1.162432019,10.82423619,16.44738266,5.99E-05,5.53E-05,2.76E-10
1,8.70034758,0.32497417,0.105608211,8.147533657,9.6461356,3.03E-05,3.03E-05,8.35E-11
2,9.741819669,0.42852207,0.183631164,9.122741608,10.77088464,1.16E-05,1.16E-05,3.35E-11
2,10.69298385,0.500867886,0.25086864,9.921502627,11.54391332,2.33E-05,2.33E-05,6.77E-11
2,9.733088,0.273822936,0.074979,9.343253826,10.68188641,2.62E-05,3.06E-05,1.15E-10
0,12.00038718,1.051523032,1.105700687,10.70341928,15.41967763,6.70E-05,6.37E-05,2.25E-10
1,9.076477527,0.508703276,0.258779023,8.385098927,11.38715907,2.22E-05,2.22E-05,7.04E-11
3,10.3512615,1.001148226,1.002297771,8.825957591,12.31246027,6.11E-05,5.43E-05,4.15E-10
